================ Training Loss (Tue Dec 10 03:14:57 2024) ================
================ Training Loss (Tue Dec 10 03:31:22 2024) ================
(epoch: 1, iters: 1749504, time: 0.001, data: 0.213) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 3.919 G_L1_kong: 0.000 G_reg: 22.437 G_tea: 7.009 
(epoch: 2, iters: 1749504, time: 0.001, data: 0.197) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 2.057 G_L1_kong: 0.000 G_reg: 7.064 G_tea: 2.254 
(epoch: 3, iters: 1749504, time: 0.001, data: 0.015) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.766 G_L1_kong: 0.000 G_reg: 5.318 G_tea: 1.690 
(epoch: 4, iters: 1749504, time: 0.000, data: 0.110) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.643 G_L1_kong: 0.000 G_reg: 4.579 G_tea: 1.448 
(epoch: 5, iters: 1749504, time: 0.000, data: 0.132) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.557 G_L1_kong: 0.000 G_reg: 3.971 G_tea: 1.261 
(epoch: 6, iters: 1749504, time: 0.000, data: 0.019) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.517 G_L1_kong: 0.000 G_reg: 3.692 G_tea: 1.181 
(epoch: 7, iters: 1749504, time: 0.001, data: 0.021) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.460 G_L1_kong: 0.000 G_reg: 3.269 G_tea: 1.047 
(epoch: 8, iters: 1749504, time: 0.000, data: 0.017) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.423 G_L1_kong: 0.000 G_reg: 3.077 G_tea: 0.977 
(epoch: 9, iters: 1749504, time: 0.000, data: 0.014) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.396 G_L1_kong: 0.000 G_reg: 2.833 G_tea: 0.912 
(epoch: 10, iters: 1749504, time: 0.000, data: 0.016) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.363 G_L1_kong: 0.000 G_reg: 2.726 G_tea: 0.867 
(epoch: 11, iters: 1749504, time: 0.001, data: 0.022) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.333 G_L1_kong: 0.000 G_reg: 2.617 G_tea: 0.830 
(epoch: 12, iters: 1749504, time: 0.000, data: 0.019) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.314 G_L1_kong: 0.000 G_reg: 2.294 G_tea: 0.735 
(epoch: 13, iters: 1749504, time: 0.001, data: 0.020) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.314 G_L1_kong: 0.000 G_reg: 2.305 G_tea: 0.728 
(epoch: 14, iters: 1749504, time: 0.000, data: 0.026) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.287 G_L1_kong: 0.000 G_reg: 2.092 G_tea: 0.666 
(epoch: 15, iters: 1749504, time: 0.000, data: 0.012) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.253 G_L1_kong: 0.000 G_reg: 1.996 G_tea: 0.625 
(epoch: 16, iters: 1749504, time: 0.001, data: 0.020) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.253 G_L1_kong: 0.000 G_reg: 1.898 G_tea: 0.604 
(epoch: 17, iters: 1749504, time: 0.000, data: 0.022) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.242 G_L1_kong: 0.000 G_reg: 2.043 G_tea: 0.627 
(epoch: 18, iters: 1749504, time: 0.000, data: 0.018) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.218 G_L1_kong: 0.000 G_reg: 1.942 G_tea: 0.600 
(epoch: 19, iters: 1749504, time: 0.000, data: 0.019) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.210 G_L1_kong: 0.000 G_reg: 1.702 G_tea: 0.528 
(epoch: 20, iters: 1749504, time: 0.000, data: 0.138) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.214 G_L1_kong: 0.000 G_reg: 1.723 G_tea: 0.528 
(epoch: 21, iters: 1749504, time: 0.000, data: 0.015) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.188 G_L1_kong: 0.000 G_reg: 1.747 G_tea: 0.523 
(epoch: 22, iters: 1749504, time: 0.000, data: 0.023) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.185 G_L1_kong: 0.000 G_reg: 1.666 G_tea: 0.505 
(epoch: 23, iters: 1749504, time: 0.000, data: 0.013) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.186 G_L1_kong: 0.000 G_reg: 1.621 G_tea: 0.493 
(epoch: 24, iters: 1749504, time: 0.001, data: 0.026) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.177 G_L1_kong: 0.000 G_reg: 1.482 G_tea: 0.451 
(epoch: 25, iters: 1749504, time: 0.000, data: 0.020) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.158 G_L1_kong: 0.000 G_reg: 1.530 G_tea: 0.456 
(epoch: 26, iters: 1749504, time: 0.001, data: 0.015) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.160 G_L1_kong: 0.000 G_reg: 1.472 G_tea: 0.447 
(epoch: 27, iters: 1749504, time: 0.000, data: 0.189) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.144 G_L1_kong: 0.000 G_reg: 1.494 G_tea: 0.444 
(epoch: 28, iters: 1749504, time: 0.000, data: 0.012) G_GAN: 0.693 G_L1: 0.000 D_real: 0.693 D_fake: 0.693 G_L1_sm: 1.145 G_L1_kong: 0.000 G_reg: 1.576 G_tea: 0.463 
